title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
Put Your Head On My Shoulder,Paul Anka,pop,2000,116,34,55,-9,10,47,155,75,3,72,False
Whatever Will Be Will Be (Que Sera Sera) (with Frank DeVol & His Orchestra) - Single Version,Doris Day,pop,1948,177,34,42,-11,72,78,123,86,4,62,False
Everybody Loves Somebody,Dean Martin,pop,2013,81,49,26,-9,34,40,162,81,4,61,False
Take Good Care Of My Baby - 1990 Remastered,Bobby Vee,pop,2011,82,43,49,-12,12,66,151,70,6,60,False
A Teenager In Love,Dion & The Belmonts,pop,1959,79,38,56,-9,13,62,158,67,3,60,False
She's Got You - Single Version,Patsy Cline,pop,1962,182,14,39,-18,11,57,182,94,4,57,False
Puppy Love - Remix,Paul Anka,pop,2000,102,41,29,-10,27,54,164,66,3,56,False
Travelin' Man - Remastered,Ricky Nelson,pop,1991,123,36,74,-12,12,86,143,67,3,55,False
Mr. Blue,The Fleetwoods,pop,1993,97,9,37,-17,11,21,145,93,4,55,False
Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,pop,1961,123,43,81,-12,2,96,144,55,9,54,False
Lonesome Town - 1990 Digital Remaster,Ricky Nelson,pop,1990,78,10,51,-18,10,30,136,86,3,54,False
16 Candles,Johnny Maestro,pop,1993,114,31,60,-11,9,60,175,73,3,53,False
If I Give My Heart to You (with The Mellomen) - 78rpm Version,Doris Day,pop,1945,77,6,50,-16,10,33,169,97,5,52,False
Sh-Boom - Single Version,The Chords,blues|r&b and soul,2007,137,47,67,-9,27,91,144,85,5,52,False
Sh-Boom (Life Could Be A Dream),The Crew Cuts,blues|r&b and soul,2006,130,27,67,-11,23,56,168,85,9,51,False
It's All In The Game,Tommy Edwards,pop,1994,105,28,38,-14,31,65,159,4,3,49,False
You Mean Everything to Me,Neil Sedaka,pop,1959,72,43,37,-8,13,68,158,52,3,48,False
April Love,Pat Boone,pop,1962,91,17,39,-15,8,50,161,83,3,48,False
Surf City - Remastered 1990/Stereo Remix,Jan & Dean,pop,1990,148,65,47,-14,34,94,163,60,3,48,False
I've Grown Accustomed To Her Face - Remastered/1998,Dean Martin,pop,1960,79,12,57,-16,11,34,163,79,6,47,False
Rubber Ball,Bobby Vee,pop,1961,143,43,42,-10,18,77,144,69,4,47,False
Chicago - Remastered,Frank Sinatra,pop,1958,148,46,51,-10,40,79,134,61,7,47,False
But Not For Me,Ella Fitzgerald,pop,1959,80,22,18,-17,10,16,214,92,4,45,False
In The Still Of The Night,The Five Satins,pop,2010,110,32,44,-10,11,20,184,88,4,44,False
Only Because,The Platters,pop,1957,73,28,55,-10,9,47,174,85,3,44,False
Che La Luna,Louis Prima,pop,1973,127,64,68,-12,21,99,152,30,6,44,False
My Happiness,Connie Francis,pop,1996,107,31,45,-8,13,28,150,75,3,44,False
Brown Eyed Handsome Man,Buddy Holly,pop,1963,95,97,59,-7,9,86,125,4,9,43,False
Poetry In Motion,Johnny Tillotson,pop,2011,135,71,49,-7,10,90,154,40,3,41,False
To The Aisle,The Five Satins,pop,2008,195,27,32,-10,10,55,166,91,4,41,False
Tulips From Amsterdam,Max Bygraves,pop,2000,93,45,56,-7,15,70,135,49,3,41,False
If I Give My Heart To You,The Teddy Bears,,2011,113,29,49,-10,12,29,118,86,3,40,False
The Lady Is A Tramp,Mel Torme & the Mel-Tones,,2016,138,60,41,-8,41,54,170,81,6,40,False
Let's Fall in Love,James Darren,pop,2014,128,29,51,-11,8,58,128,78,4,39,False
Runaround,The Fleetwoods,pop,2011,79,14,37,-15,12,36,154,95,4,39,False
A Thousand Miles Away,The Temprees,r&b and soul,1984,75,26,48,-15,28,30,199,39,3,39,False
Walkin’ My Baby Back Home,Dean Martin,pop,2007,127,17,72,-13,7,78,175,98,7,39,False
Outside My Window,The Fleetwoods,pop,1993,106,16,59,-18,11,47,129,88,3,39,False
I Love My Girl,The Hilltoppers,pop,2011,123,45,74,-10,10,96,106,88,4,38,False
Eddie My Love,The Chordettes,pop,2012,108,14,57,-12,13,39,135,82,3,38,False
Let There Be You,The Five Keys,blues|r&b and soul,1989,92,11,36,-15,20,23,154,97,3,38,False
Raindrops,Roy Orbison,pop,1961,103,44,59,-10,5,90,113,52,3,38,False
Unchained Melody,The Teddy Bears,,2011,114,44,53,-8,13,47,139,49,3,37,False
It All Depends on You,Craig Douglas,pop,1993,147,32,53,-10,17,73,127,87,7,37,False
A Tear Fell,Teresa Brewer,pop,1995,86,16,42,-16,18,46,156,92,5,37,False
Ain't Got No Home,"Clarence ""Frogman"" Henry",blues,2013,84,33,66,-16,9,53,143,69,9,36,False
Carolina in the Morning,Craig Douglas,pop,2011,81,20,35,-13,9,43,213,87,3,36,False
Gigi,Billy Eckstine,pop,1958,81,12,21,-17,12,19,155,93,3,35,False
What Do You Want,Adam Faith,pop,1989,147,37,55,-9,24,85,98,84,4,35,False
You Belong to My Heart,Timi Yuro,pop,2013,108,39,46,-10,16,50,126,82,3,35,False
Someone Elses Roses,Joan Regan,,2019,100,14,29,-10,15,32,143,89,3,34,False
More,Jimmy Young,pop,2007,126,31,36,-11,25,29,146,77,3,34,False
Do You Wanna Dance,Bobby Freeman,blues|r&b and soul,2013,167,50,55,-15,15,96,149,89,6,33,False
My September Love,David Whitfield,pop,2000,137,21,24,-17,20,14,166,65,3,33,False
